command,code,format

RESET ENABLE,66,
RESET MEMORY,99,

READ ID,9E,
READ ID,9F,
MULTIPLE I/O READ ID,AF,
READ SERIAL FLASH DISCOVERY PARAMETER,5A,

READ,03,
4READ,13,
FAST READ,0B,
DUAL OUTPUT FAST READ,3B,
DUAL INPUT/OUTPUT FAST READ,0B,
DUAL INPUT/OUTPUT FAST READ,3B,
DUAL INPUT/OUTPUT FAST READ,BB,
QUAD OUTPUT FAST READ,6B,
QUAD INPUT/OUTPUT FAST READ,0B,
QUAD INPUT/OUTPUT FAST READ,6B,
QUAD INPUT/OUTPUT FAST READ,EB,
QUAD INPUT/OUTPUT OCTAL WORD READ,E3,Spansion
QUAD INPUT/OUTPUT WORD READ,E7,Spansion

WRITE ENABLE,06,
WRITE DISABLE,04,

READ STATUS REGISTER,05,
READ STATUS REGISTER 2,35,
WRITE STATUS REGISTER,01,
READ LOCK REGISTER,E8,
WRITE LOCK REGISTER,E5,
READ FLAG STATUS REGISTER,70,
CLEAR FLAG STATUS REGISTER,50,
WRITE ENABLE STATUS REGISTER,50,Spansion
READ NONVOLATILE CONFIGURATION REGISTER,B5,
WRITE NONVOLATILE CONFIGURATION REGISTER,B1,
READ VOLATILE CONFIGURATION REGISTER,85,
WRITE VOLATILE CONFIGURATION REGISTER,81,
READ ENHANCED VOLATILE CONFIGURATION REGISTER,65,
WRITE ENHANCED VOLATILE CONFIGURATION REGISTER,61,

PAGE PROGRAM,02,
DUAL INPUT FAST PROGRAM,A2,
EXTENDED DUAL INPUT FAST PROGRAM,02,
EXTENDED DUAL INPUT FAST PROGRAM,A2,
EXTENDED DUAL INPUT FAST PROGRAM,D2,
QUAD INPUT FAST PROGRAM,32,
EXTENDED QUAD INPUT FAST PROGRAM,02,
EXTENDED QUAD INPUT FAST PROGRAM,32,
EXTENDED QUAD INPUT FAST PROGRAM,12,

SUBSECTOR ERASE,20,
SECTOR ERASE,D8,
BULK ERASE,C7,
PROGRAM/ERASE RESUME,7A,
PROGRAM/ERASE SUSPEND,75,

READ OTP ARRAY,4B,
PROGRAM OTP ARRAY,42,

Deep power-down,B9,
Release from deep power-down,AB,
